run_id,run_type,country_id,policy_variant_id,scenario_id,regime_id,v_baseline,v_negative_control,collapse_ratio,baseline_crosses_v1,negative_control_crosses_v1,verdict,parameter_set_id,dataset_version
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,UBI,stress,r3,0.0321698196238365,0.010235851698493432,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PEN,stress,r4,1.4222907379520815,0.4525470529847533,0.31818181818181823,True,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_ideal_aggregate,stress,r4,0.2180661243599288,0.06938467593270463,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_loaded_aggregate,stress,r4,0.1453774162399525,0.04625645062180308,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,MUT,stress,r4,0.1591308383170305,0.05063253946450971,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PBI,stress,r4,0.1101872957625629,0.03505959410627002,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,UBI,stress,r4,0.0417812531704847,0.01329403509969968,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,CHL,PEN,low,r0,-0.0446157845733166,-0.014195931455146193,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,CHL,GMI:GMI_ideal_aggregate,low,r0,-2.245607572267461,-0.7145115002669196,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,CHL,GMI:GMI_loaded_aggregate,low,r0,-1.497071714844974,-0.47634100017794634,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,CHL,MUT,low,r0,-0.0275453695858054,-0.00876443577730172,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,CHL,PBI,low,r0,-0.0104571851976836,-0.003327286199262964,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,CHL,UBI,low,r0,-0.0031084048057245,-0.0009890378927305229,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,CHL,PEN,low,r1,-0.0432922126120482,-0.013774794922015339,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,CHL,GMI:GMI_ideal_aggregate,low,r1,-2.1997699950107408,-0.6999268165943268,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,CHL,GMI:GMI_loaded_aggregate,low,r1,-1.4665133300071609,-0.46661787772955127,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,CHL,MUT,low,r1,-0.0264059491031859,-0.008401892896468241,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,CHL,PBI,low,r1,-0.0098576297941753,-0.0031365185708739597,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
