country_id,policy_variant_id,scenario_id,regime_id,v_gross,crosses_v1,cell_result_class
CHL,MUT,stress,r1,0.2981256694444094,False,not_feasible
CHL,PBI,stress,r1,0.1843907027221172,False,not_feasible
CHL,UBI,stress,r1,0.0782577023013386,False,not_feasible
CHL,PEN,stress,r2,0.2749404640789393,False,not_feasible
CHL,GMI:GMI_ideal_aggregate,stress,r2,4.550059741080454,True,feasible_cell
CHL,GMI:GMI_loaded_aggregate,stress,r2,3.033373160720303,True,feasible_cell
CHL,MUT,stress,r2,0.3137854695958103,False,not_feasible
CHL,PBI,stress,r2,0.1937638728328191,False,not_feasible
CHL,UBI,stress,r2,0.0821726523391888,False,not_feasible
CHL,PEN,stress,r3,0.2502383566642316,False,not_feasible
CHL,GMI:GMI_ideal_aggregate,stress,r3,4.015460658881374,True,feasible_cell
CHL,GMI:GMI_loaded_aggregate,stress,r3,2.676973772587582,True,feasible_cell
CHL,MUT,stress,r3,0.2875441518996482,False,not_feasible
CHL,PBI,stress,r3,0.1781066042982894,False,not_feasible
CHL,UBI,stress,r3,0.0756433145054426,False,not_feasible
CHL,PEN,stress,r4,0.3330179726110611,False,not_feasible
CHL,GMI:GMI_ideal_aggregate,stress,r4,5.799668762204835,True,feasible_cell
CHL,GMI:GMI_loaded_aggregate,stress,r4,3.86644584146989,True,feasible_cell
CHL,MUT,stress,r4,0.3755949708493598,False,not_feasible
CHL,PBI,stress,r4,0.2306774924132624,False,not_feasible
CHL,UBI,stress,r4,0.0975733750020856,False,not_feasible
COL,PEN,low,r0,-0.1616526824314932,False,not_feasible
COL,GMI:GMI_ideal_aggregate,low,r0,-0.112663238540209,False,not_feasible
COL,GMI:GMI_loaded_aggregate,low,r0,-0.0751088256934726,False,not_feasible
COL,MUT,low,r0,-0.018485557526338,False,not_feasible
COL,PBI,low,r0,-0.0078670161561991,False,not_feasible
COL,UBI,low,r0,-0.0023095297273273,False,not_feasible
COL,PEN,low,r1,-0.1571014719079275,False,not_feasible
COL,GMI:GMI_ideal_aggregate,low,r1,-0.1104136174694261,False,not_feasible
COL,GMI:GMI_loaded_aggregate,low,r1,-0.0736090783129508,False,not_feasible
COL,MUT,low,r1,-0.0177865477124634,False,not_feasible
COL,PBI,low,r1,-0.0074745008917797,False,not_feasible
COL,UBI,low,r1,-0.0021663854399114,False,not_feasible
COL,PEN,low,r2,-0.1555474464865584,False,not_feasible
COL,GMI:GMI_ideal_aggregate,low,r2,-0.1099427969680978,False,not_feasible
COL,GMI:GMI_loaded_aggregate,low,r2,-0.0732951979787319,False,not_feasible
COL,MUT,low,r2,-0.0174903074530276,False,not_feasible
COL,PBI,low,r2,-0.0072853439350885,False,not_feasible
COL,UBI,low,r2,-0.0020923253750525,False,not_feasible
COL,PEN,low,r3,-0.1616942785994007,False,not_feasible
COL,GMI:GMI_ideal_aggregate,low,r3,-0.1123275415116828,False,not_feasible
COL,GMI:GMI_loaded_aggregate,low,r3,-0.0748850276744552,False,not_feasible
COL,MUT,low,r3,-0.0185609176615341,False,not_feasible
COL,PBI,low,r3,-0.0079366636511044,False,not_feasible
COL,UBI,low,r3,-0.0023410130275475,False,not_feasible
COL,PEN,low,r4,-0.1497886682248611,False,not_feasible
COL,GMI:GMI_ideal_aggregate,low,r4,-0.1073273211049564,False,not_feasible
COL,GMI:GMI_loaded_aggregate,low,r4,-0.0715515474033043,False,not_feasible
COL,MUT,low,r4,-0.016561101803801,False,not_feasible
COL,PBI,low,r4,-0.0067458427622004,False,not_feasible
COL,UBI,low,r4,-0.0018916321287985,False,not_feasible
COL,PEN,mid,r0,0.059840611829065,False,not_feasible
COL,GMI:GMI_ideal_aggregate,mid,r0,-0.045557782985473,False,not_feasible
COL,GMI:GMI_loaded_aggregate,mid,r0,-0.0303718553236487,False,not_feasible
COL,MUT,mid,r0,0.0237371951087018,False,not_feasible
COL,PBI,mid,r0,0.0190932876417367,False,not_feasible
COL,UBI,mid,r0,0.0082461584314325,False,not_feasible
COL,PEN,mid,r1,0.0770387250016668,False,not_feasible
COL,GMI:GMI_ideal_aggregate,mid,r1,-0.0394765508203082,False,not_feasible
COL,GMI:GMI_loaded_aggregate,mid,r1,-0.0263177005468721,False,not_feasible
COL,MUT,mid,r1,0.0268470546231615,False,not_feasible
COL,PBI,mid,r1,0.0210251918915393,False,not_feasible
COL,UBI,mid,r1,0.0089920151439947,False,not_feasible
COL,PEN,mid,r2,0.089605070284977,False,not_feasible
COL,GMI:GMI_ideal_aggregate,mid,r2,-0.0356693460572483,False,not_feasible
COL,GMI:GMI_loaded_aggregate,mid,r2,-0.0237795640381655,False,not_feasible
COL,MUT,mid,r2,0.0292425478600788,False,not_feasible
COL,PBI,mid,r2,0.0225547753834407,False,not_feasible
COL,UBI,mid,r2,0.0095908884532241,False,not_feasible
COL,PEN,mid,r3,0.0561848053233808,False,not_feasible
COL,GMI:GMI_ideal_aggregate,mid,r3,-0.0463170772612968,False,not_feasible
COL,GMI:GMI_loaded_aggregate,mid,r3,-0.0308780515075312,False,not_feasible
COL,MUT,mid,r3,0.0229728664448087,False,not_feasible
COL,PBI,mid,r3,0.0185837161797362,False,not_feasible
COL,UBI,mid,r3,0.0080424329990382,False,not_feasible
COL,PEN,mid,r4,0.1240340916449477,False,not_feasible
COL,GMI:GMI_ideal_aggregate,mid,r4,-0.0243676942518618,False,not_feasible
COL,GMI:GMI_loaded_aggregate,mid,r4,-0.0162451295012412,False,not_feasible
COL,MUT,mid,r4,0.0356370954121661,False,not_feasible
COL,PBI,mid,r4,0.0265840366706049,False,not_feasible
COL,UBI,mid,r4,0.0111579171751931,False,not_feasible
COL,PEN,high,r0,0.0483860544148742,False,not_feasible
COL,GMI:GMI_ideal_aggregate,high,r0,-0.0490281512240388,False,not_feasible
COL,GMI:GMI_loaded_aggregate,high,r0,-0.0326854341493592,False,not_feasible
COL,MUT,high,r0,0.0215536394129962,False,not_feasible
COL,PBI,high,r0,0.0176990316720991,False,not_feasible
COL,UBI,high,r0,0.0077002695075061,False,not_feasible
COL,PEN,high,r1,0.0651244943643989,False,not_feasible
COL,GMI:GMI_ideal_aggregate,high,r1,-0.0430861854919454,False,not_feasible
COL,GMI:GMI_loaded_aggregate,high,r1,-0.0287241236612969,False,not_feasible
COL,MUT,high,r1,0.0245758724877674,False,not_feasible
COL,PBI,high,r1,0.0195749842065989,False,not_feasible
COL,UBI,high,r1,0.0084242196101462,False,not_feasible
COL,PEN,high,r2,0.0771728703125758,False,not_feasible
COL,GMI:GMI_ideal_aggregate,high,r2,-0.0394359090382211,False,not_feasible
COL,GMI:GMI_loaded_aggregate,high,r2,-0.0262906060254808,False,not_feasible
COL,MUT,high,r2,0.0268726264324507,False,not_feasible
COL,PBI,high,r2,0.0210415201435853,False,not_feasible
COL,UBI,high,r2,0.008998408096317,False,not_feasible
COL,PEN,high,r3,0.0493821710527082,False,not_feasible
COL,GMI:GMI_ideal_aggregate,high,r3,-0.0483780600699625,False,not_feasible
COL,GMI:GMI_loaded_aggregate,high,r3,-0.0322520400466417,False,not_feasible
COL,MUT,high,r3,0.0216760960615962,False,not_feasible
COL,PBI,high,r3,0.0177556952359155,False,not_feasible
COL,UBI,high,r3,0.007718240403235,False,not_feasible
COL,PEN,high,r4,0.1170092187521569,False,not_feasible
COL,GMI:GMI_ideal_aggregate,high,r4,-0.0264960083268255,False,not_feasible
COL,GMI:GMI_loaded_aggregate,high,r4,-0.017664005551217,False,not_feasible
COL,MUT,high,r4,0.0342979601961989,False,not_feasible
COL,PBI,high,r4,0.0257289647012083,False,not_feasible
COL,UBI,high,r4,0.0108231333712013,False,not_feasible
COL,PEN,stress,r0,0.6460758689243442,False,not_feasible
COL,GMI:GMI_ideal_aggregate,stress,r0,0.132052939366006,False,not_feasible
COL,GMI:GMI_loaded_aggregate,stress,r0,0.0880352929106706,False,not_feasible
COL,MUT,stress,r0,0.1354898616122524,False,not_feasible
COL,PBI,stress,r0,0.0904502137334005,False,not_feasible
COL,UBI,stress,r0,0.0361843250573202,False,not_feasible
COL,PEN,stress,r1,0.6983409435435907,False,not_feasible
